Iter,PSNR,SSIM,Loss
1,21.94,0.871,0.419
2,21.88,0.889,0.405
3,22.87,0.893,0.394
4,23.12,0.886,0.387
5,23.33,0.903,0.382
6,22.51,0.899,0.378
7,22.72,0.901,0.375
8,23.77,0.906,0.373
9,23.12,0.910,0.372
10,23.89,0.906,0.370
11,22.73,0.900,0.368
12,22.39,0.905,0.367
13,23.86,0.904,0.365
14,22.78,0.903,0.364
15,22.42,0.906,0.363
16,22.78,0.901,0.362
17,23.33,0.903,0.360
18,23.33,0.905,0.359
19,21.84,0.895,0.359
20,22.54,0.904,0.358
21,24.09,0.907,0.357
22,23.72,0.913,0.357
23,23.93,0.907,0.356
24,24.57,0.917,0.355
25,22.73,0.905,0.354
26,22.28,0.903,0.354
27,23.16,0.902,0.353
28,24.30,0.911,0.353
29,23.62,0.909,0.352
30,22.72,0.902,0.352
31,23.50,0.907,0.351
32,24.71,0.918,0.351
33,23.34,0.908,0.350
34,23.71,0.906,0.350
35,23.25,0.912,0.349
36,23.07,0.904,0.349
37,23.13,0.907,0.348
38,23.72,0.916,0.348
39,23.97,0.909,0.347
40,23.59,0.909,0.347
41,23.24,0.909,0.346
42,23.27,0.905,0.346
43,23.78,0.916,0.346
44,25.02,0.918,0.345
45,24.30,0.919,0.345
46,24.50,0.917,0.344
47,21.55,0.896,0.344
48,24.74,0.920,0.344
49,24.26,0.915,0.343
50,22.73,0.902,0.343
51,23.79,0.914,0.343
52,23.31,0.906,0.342
53,23.61,0.915,0.342
54,23.83,0.915,0.342
55,23.06,0.909,0.341
56,22.92,0.907,0.341
57,23.99,0.911,0.341
58,23.48,0.911,0.340
59,24.00,0.912,0.340
60,24.70,0.913,0.340
61,23.86,0.912,0.340
62,24.92,0.919,0.339
63,23.70,0.915,0.339
64,25.50,0.912,0.339
65,23.50,0.913,0.338
66,24.16,0.917,0.338
67,24.62,0.914,0.338
68,24.64,0.911,0.337
69,24.65,0.915,0.337
70,24.74,0.909,0.337
71,23.92,0.916,0.337
72,24.52,0.914,0.337
73,24.75,0.917,0.336
74,24.39,0.913,0.336
75,24.69,0.921,0.336
76,23.85,0.910,0.336
77,24.71,0.918,0.335
78,24.49,0.919,0.335
79,24.06,0.915,0.335
80,24.59,0.916,0.335
